Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 2LS,34,23.29%,78,53.42%,1,0.68%,31,21.23%
CF24 2LT,19,13.38%,97,68.31%,0,0.00%,22,15.49%
CF24 2LU,19,13.29%,78,54.55%,2,1.40%,38,26.57%
CF24 2LW,40,35.09%,49,42.98%,0,0.00%,23,20.18%
CF24 2LX,12,9.52%,79,62.70%,0,0.00%,30,23.81%
CF24 2LY,40,35.09%,49,42.98%,0,0.00%,23,20.18%
CF24 2NA,15,11.11%,79,58.52%,0,0.00%,35,25.93%
CF24 2NB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2ND,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NJ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NL,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NN,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NP,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NQ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2NZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PJ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PL,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PN,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PP,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PQ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PS,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PT,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PU,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PW,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PX,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PY,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2PZ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2QA,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2QB,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2QD,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2QE,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2QF,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2QG,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2QH,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2QJ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2QL,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2QN,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2QP,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2QQ,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2QR,Error,Error,Error,Error,Error,Error,Error,Error
CF24 2QS,Error,Error,Error,Error,Error,Error,Error,Error
