Postcode,Council+Other Social (Count),Council+Other Social (%),Owned (Count),Owned (%),Shared Ownership (Count),Shared Ownership (%),Private Landlord (Count),Private Landlord (%)
CF24 3SG,2,1.56%,109,85.16%,3,2.34%,0,0.00%
CF24 3SH,2,1.56%,109,85.16%,3,2.34%,0,0.00%
CF24 3SJ,2,1.64%,97,79.51%,1,0.82%,0,0.00%
CF24 3SL,2,1.56%,109,85.16%,3,2.34%,0,0.00%
CF24 3SN,42,19.53%,45,20.93%,0,0.00%,0,0.00%
CF24 3SP,60,41.67%,42,29.17%,0,0.00%,0,0.00%
CF24 3TQ,63,58.33%,31,28.70%,4,3.70%,0,0.00%
CF24 3TW,11,9.32%,6,5.08%,0,0.00%,0,0.00%
CF24 3UN,11,6.51%,8,4.73%,1,0.59%,0,0.00%
CF24 3UR,23,15.23%,28,18.54%,1,0.66%,0,0.00%
CF24 3UW,11,6.51%,8,4.73%,1,0.59%,0,0.00%
CF24 3UX,15,7.01%,10,4.67%,0,0.00%,0,0.00%
CF24 3WD,18,8.78%,27,13.17%,0,0.00%,0,0.00%
CF24 3WN,40,23.81%,94,55.95%,2,1.19%,0,0.00%
CF24 3XL,77,43.02%,9,5.03%,1,0.56%,0,0.00%
CF24 3YB,40,23.81%,94,55.95%,2,1.19%,0,0.00%
CF24 3YR,4,2.41%,57,34.34%,1,0.60%,0,0.00%
CF24 3YW,7,4.70%,33,22.15%,0,0.00%,0,0.00%
CF24 3YX,0,0.00%,57,57.00%,0,0.00%,0,0.00%
CF24 3YZ,4,3.36%,47,39.50%,0,0.00%,0,0.00%
